id,name,album,album_id,artists,artist_ids,track_number,disc_number,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year,release_date
3tTL7jlSkowXidYeafFtwG,Take the Power Back,Rage Against The Machine,4LaRYkT4oy47wEuQgkLBul,['Rage Against The Machine'],['2d0hyoQ5ynDBnkvAbJKORj'],3,1,True,0.542,0.8420000000000001,1,-7.1370000000000005,1,0.17300000000000001,0.043,0.000153,0.17300000000000001,0.301,104.772,335840,4.0,1992,1992-11-03
2nWM35FPxkYAWHHv9hrczL,Something About You,Do It for Love,4evw6IBex3N8x1oA2axMTH,['Daryl Hall & John Oates'],['77tT1kLj6mCWtFNqiOmP9H'],13,1,False,0.8,0.552,10,-6.2079999999999975,1,0.0244,0.158,0.0,0.16699999999999998,0.34700000000000003,98.022,242907,4.0,2018,2018-04-10
2z9z18lidxD3euusC3UaLx,Hollywood,New Life Faded,1xNWaXNMS8798hlEBxdVjL,['Death & Desire'],['3jfxxO6JNrzzhov82l1wX2'],1,1,False,0.402,0.141,6,-16.768,1,0.0693,0.655,0.00489,0.13,0.22899999999999998,125.742,68651,4.0,2011,2011-02-08
60qzjJREFQP6YT0HqalpCn,Joyful Girl (Peace and Love Mix),More Joy Less Shame,4ysiLjQwyLg4rw3aIv0flv,['Ani DiFranco'],['0AiTwNtYX8m4uhfU7rJ8RD'],2,1,False,0.755,0.275,8,-13.944,1,0.107,0.19,0.000269,0.0648,0.22,79.993,279800,4.0,1996,1996-11-01
5G2kKkkGXI9pmokERv9grF,Miss You,Westlife,22pfCAdDOgyC2JfSi5OwxT,['Westlife'],['5Z1CCuBsyhEHngq3U5IraY'],11,1,False,0.491,0.627,2,-6.2070000000000025,1,0.0255,0.436,1.25e-06,0.264,0.402,78.047,232893,4.0,1999,1999-04-25
1dyLYQpMo3VVKseZGUaYE2,I'm Not Sure,Johnny Winter: A Rock N' Roll Collection,6yn5Mylr8HsH9PVro7Fo22,['Johnny Winter'],['2ODUxmFxJSyvGiimNhMHbO'],6,2,False,0.3,0.63,3,-12.025,1,0.045,3.91e-05,0.00119,0.141,0.84,171.25099999999995,319135,4.0,1973,1973
4mOjvafN3FbHFmXH5QaXv5,Last Christmas,Last Christmas,3acMUF1baafzo6Zi61F1rS,['Lucy Dacus'],['07D1Bjaof0NFlU32KXiqUP'],1,1,False,0.484,0.912,1,-9.974,0,0.0657,1.77e-05,0.853,0.478,0.5479999999999999,159.97799999999995,161812,4.0,2019,2019-11-01
0GJCFB2dOgvQYD9evXdoL9,Magnificent Obsession,What Another Man Spills,7vZ64RCvITaHsTtWGcj3KC,['Lambchop'],['2Lhs0asnFQiLuntn3s8p78'],10,1,False,0.524,0.23600000000000002,0,-14.802999999999999,1,0.0296,0.8809999999999999,0.124,0.149,0.48100000000000004,144.031,200827,4.0,1998,1998-09-08
7LhCVUch8Q0ST7C6izBdZY,Nothing To Write Home About,Let Your Dim Light Shine,5BBz3KP2voAKW7ZJTenk9N,['Soul Asylum'],['02da1vDJ2hWqfK7aJL6SJm'],13,1,False,0.317,0.564,11,-8.353,0,0.0305,0.000325,0.0,0.136,0.425,162.22,194107,4.0,1995,1995-06-06
4n3mp3DC7JrdXYJCDdwKhd,Ana's Song (Open Fire) - Acoustic Re-Mix,The Best Of - Volume One,0ZDX7TUhxIn3S9PzO069hX,['Silverchair'],['4iudEcmuPlYNdbP3e1bdn1'],15,1,False,0.38799999999999996,0.434,4,-9.555,1,0.0253,0.349,0.000166,0.23199999999999998,0.191,78.445,229667,4.0,2000,2000-11-28
38ziKCMk9rinPgY5S584PD,Review My Kisses,Twisted Angel,1b1o9ptRtfjuIi22SjAwLB,['LeAnn Rimes'],['2d3VHzlOEwXvmBdS4pzOPL'],9,1,False,0.233,0.606,10,-6.22,0,0.0425,0.6859999999999999,0.0,0.106,0.209,173.09599999999998,331067,4.0,2002,2002-10-01
5OABuGyO07Xjsv3YybFHFI,Secret Lotus,Groove Tribe,4Arv2qXssKmDhOxKW9pUcO,['David & Steve Gordon'],['4yt002Vil1q4Vl9JOx48QG'],8,1,False,0.65,0.581,1,-11.370999999999999,1,0.039,0.0015199999999999999,0.7240000000000001,0.147,0.7509999999999999,91.001,428495,4.0,2011,2011-09-13
2S1YzIHFyLxLop7XCdYrTp,Man of the South,Stand Alone - EP,2F66LRNUc5LQRC9qEVhfeu,['Morgan Wallen'],['4oUHIQIBe0LHzYfvXNW4QM'],4,1,False,0.413,0.889,2,-3.924,1,0.0503,0.0047,0.0,0.348,0.602,177.97299999999996,213348,4.0,2015,2015-08-24
4W7VPVKoOM5IDZrrCxUuEa,Pas d'argent dans mon dos,Trop précieux,6GxUJzRzNvhCKWvxk1wW3T,['Les Wampas'],['2nsGWZA0LtO7istBNsyNTE'],9,1,False,0.6779999999999999,0.371,6,-11.674000000000001,1,0.155,0.88,0.0,0.0869,0.657,96.537,123000,4.0,1995,1995-10-23
